Brand,Model,SubFolder,Url,Filename
Enphase,IQ EV Charger 2 (EU),Chargers\AC Chargers\Enphase,https://enphase.com/en-gb/download/iq-ev-charger-2-data-sheet,Enphase_IQ-EV-Charger-2_EU_datasheet.pdf
SolarEdge,EV Charger Cable non-MID,Chargers\AC Chargers\SolarEdge,https://knowledge-center.solaredge.com/sites/kc/files/se-ev-charger-datasheet-eu.pdf,SolarEdge_EVCharger_EU_datasheet_DS-000191.pdf
SolarEdge,ONE EV Charger Pro,Chargers\AC Chargers\SolarEdge,https://knowledge-center.solaredge.com/sites/kc/files/se-one-ev-charger-datasheet-eu.pdf,SolarEdge_ONE-EVCharger-Pro_EU_datasheet_DS-000262.pdf
go-e,Gemini 2.0,Chargers\AC Chargers\go-e,https://go-e.com/fileadmin/Support/Anleitungen/Englisch/go-e-charger-gemini-2-0-data-sheet.pdf,go-e_Gemini-2.0_datasheet.pdf
go-e,CORE,Chargers\AC Chargers\go-e,https://go-e.com/fileadmin/Support/Anleitungen/Englisch/go-e-charger-core-data-sheet.pdf,go-e_CORE_datasheet.pdf
go-e,PRO CABLE,Chargers\AC Chargers\go-e,https://go-e.com/fileadmin/Support/Anleitungen/Englisch/go-e-charger-pro-datasheet.pdf,go-e_PRO-CABLE_datasheet.pdf
go-e,"Gemini (11/22kW, stationary)",Chargers\AC Chargers\go-e,https://go-e.com/fileadmin/Support/Anleitungen/Englisch/go-e-gemini-datasheet.pdf,go-e_Gemini_datasheet.pdf
go-e,"Gemini flex (11/22kW, portable)",Chargers\AC Chargers\go-e,https://go-e.com/fileadmin/Support/Anleitungen/Englisch/go-e-gemini-flex-datasheet.pdf,go-e_Gemini-flex_datasheet.pdf
go-e,"Gemini flex 2.0 (11/22kW, portable, 4G)",Chargers\AC Chargers\go-e,https://go-e.com/fileadmin/Support/Anleitungen/Englisch/go-e-charger-gemini-flex-2-0-data-sheet.pdf,go-e_Gemini-flex-2.0_datasheet.pdf
go-e,PRO CABLE ME,Chargers\AC Chargers\go-e,https://go-e.com/fileadmin/Support/Anleitungen/Englisch/go-e-charger-pro-datasheet.pdf,go-e_PRO-CABLE-ME_datasheet.pdf
ChargeAmps,Luna,Chargers\AC Chargers\ChargeAmps,https://www.chargeamps.com/app/uploads/2025/02/ChargeAmps_product-sheet_luna_ENG_250217.pdf,ChargeAmps_Luna_ProductSheet.pdf
ChargeAmps,Aura,Chargers\AC Chargers\ChargeAmps,https://www.chargeamps.com/app/uploads/2025/02/ChargeAmps_product-sheet_aura_ENG_240411-1.pdf,ChargeAmps_Aura_ProductSheet.pdf
ChargeAmps,Dawn,Chargers\AC Chargers\ChargeAmps,https://www.chargeamps.com/app/uploads/2025/02/ChargeAmps_product-sheet_dawn_ENG_240513-1.pdf,ChargeAmps_Dawn_ProductSheet.pdf
ChargeAmps,Halo,Chargers\AC Chargers\ChargeAmps,https://www.chargeamps.com/app/uploads/2024/04/ChargeAmps_Halo_EN_240306.pdf,ChargeAmps_Halo_ProductSheet.pdf
ChargeAmps,Dawn Professional,Chargers\AC Chargers\ChargeAmps,https://www.chargeamps.com/app/uploads/2025/09/ChargeAmps_product-sheet_dawn_Pro_ENG_250902.pdf,ChargeAmps_DawnProfessional_ProductSheet.pdf
ChargeAmps,Dawn Professional DE,Chargers\AC Chargers\ChargeAmps,https://www.chargeamps.com/app/uploads/2025/05/ChargeAmpsDawnPro.ProductDataSheet.pdf,ChargeAmps_DawnProfessionalDE_ProductDataSheet.pdf
Garo,GLB Wallbox,Chargers\AC Chargers\Garo,https://www.garo.se/storage/DA05CEA472104BD36276B8DED29572AD10F46005AAB23FA4B0C99DEB9D174782/5d349d40fffc4fc49b034836c117835c/pdf/media/4b89db14032146ab8489d015d727938f/GLB%20Full%20Guide%20380185%204.2.pdf,Garo_GLB_FullGuide.pdf
Garo,Entity Home,Chargers\AC Chargers\Garo,https://www.garo.se/storage/9E63B0919C73123E1654E57792E11E087D9714D1BA6DF3402BC6A2272F31F64A/9fa2370c9460485a8d65f39a60c34fd5/pdf/media/9ebb3a519b2043c6938291d6c5dd186f/Entity%20Compact%20(EN)%20Manual.pdf,Garo_EntityHome_Manual_EN.pdf
Garo,Entity Compact,Chargers\AC Chargers\Garo,https://www.garo.se/storage/9E63B0919C73123E1654E57792E11E087D9714D1BA6DF3402BC6A2272F31F64A/9fa2370c9460485a8d65f39a60c34fd5/pdf/media/9ebb3a519b2043c6938291d6c5dd186f/Entity%20Compact%20(EN)%20Manual.pdf,Garo_EntityCompact_Manual_EN.pdf
Garo,"Entity Pro (base, non-MID)",Chargers\AC Chargers\Garo,https://www.garo.se/storage/031DB84EEB1C5FF5530DCC5CEFE9050238F7DF8D666FD379D0D5219CD5A4A681/dfcb712a91374c64bd1b46e788c3e9c8/pdf/media/9dfd41374b514d7e8fd422cbe52b17dc/GARO%20Entity%20Pro%20(EN)%20Manual%20380317%20(1.3.4).pdf,Garo_EntityPro_Manual_EN.pdf
Garo,Entity Pro MID,Chargers\AC Chargers\Garo,https://www.garo.se/storage/031DB84EEB1C5FF5530DCC5CEFE9050238F7DF8D666FD379D0D5219CD5A4A681/dfcb712a91374c64bd1b46e788c3e9c8/pdf/media/9dfd41374b514d7e8fd422cbe52b17dc/GARO%20Entity%20Pro%20(EN)%20Manual%20380317%20(1.3.4).pdf,Garo_EntityProMID_Manual_EN.pdf
Garo,"Wallbox Twin (double-head, non-OCPP)",Chargers\AC Chargers\Garo,https://www.garo.se/storage/054D66563C1459D931DA14AD8462F901FD8539176ABE6E94F63D1626F7C0848E/aa70c3cdfaef40df839879002308a2ad/pdf/media/dc7fa16bdcdd47f1aafa44dc9976168d/Twin%20(EN)%20Full%20Manual%20380231%201.2.pdf,Garo_WallboxTwin_Manual_EN.pdf
Smappee,EV Wall,Chargers\AC Chargers\Smappee,https://www.smappee.com/eu/files/technical_documentation-technical-specifications_ev-wall,Smappee_EV-Wall_Datasheet_EN.pdf
Smappee,EV One,Chargers\AC Chargers\Smappee,https://www.smappee.com/eu/files/technical_documentation-technical-specifications_ev-one,Smappee_EV-One_Datasheet_EN.pdf
Smappee,EV Dual Wall,Chargers\AC Chargers\Smappee,https://www.smappee.com/eu/files/technical_documentation_technical-specifications_ev-dual-wall,Smappee_EV-Dual-Wall_Datasheet_EN.pdf
Smappee,EV Dual Base,Chargers\AC Chargers\Smappee,https://www.smappee.com/eu/files/technical_documentation_technical-specifications_ev-dual-base,Smappee_EV-Dual-Base_Datasheet_EN.pdf
Victron,EV Charging Station NS,Chargers\AC Chargers\Victron,https://www.victronenergy.com/upload/documents/Datasheet-EV-Charging-Station-NS-EN-.pdf,Victron_EVChargingStationNS_Datasheet.pdf
Victron,EV Charging Station,Chargers\AC Chargers\Victron,https://www.victronenergy.com/upload/documents/Datasheet-EV-Charging-Station-EN-.pdf,Victron_EVChargingStation_Datasheet.pdf
Zappi (Myenergi),zappi 2.1 Multiphase,Chargers\AC Chargers\Zappi (Myenergi),https://www.myenergi.com/wp-content/uploads/2024/10/4.-zappi-Multiphase-Datasheet.pdf,myenergi_zappi-2.1-Multiphase_datasheet.pdf
Zappi (Myenergi),zappi GLO,Chargers\AC Chargers\Zappi (Myenergi),https://support.myenergi.com/hc/article_attachments/44673214333457,myenergi_zappi-GLO_datasheet.pdf
Vestel,AC Liveo 7/11/22,Chargers\AC Chargers\Vestel,https://vestelmobility.com/Content/files/uploads/1800/AC%20Liveo%20Leaflet.pdf,Vestel_AC-Liveo_Leaflet.pdf
Vestel,AC Vega Dual 14/22/44,Chargers\AC Chargers\Vestel,https://vestelmobility.com/Content/files/uploads/1771/ac-vega-dual.pdf,Vestel_AC-Vega-Dual_datasheet.pdf
Vestel,AC Gemini Dual 7/22/44,Chargers\AC Chargers\Vestel,https://vestelmobility.com/Content/files/uploads/30/gemini-leaflet.pdf,Vestel_AC-Gemini-Dual_datasheet.pdf
Vestel,AC Quatro/Lou/Vario/Arch 7/11/22 (shared family),Chargers\AC Chargers\Vestel,https://vestelmobility.com/Content/files/uploads/22/AC%20Quatro_Lou_Vario_Arch.pdf,Vestel_AC-Quatro-Lou-Vario-Arch_datasheet.pdf
Vestel,AC Rhea/Zenith/Libra 7/11/22 (shared family),Chargers\AC Chargers\Vestel,https://vestelmobility.com/Content/files/uploads/19/ac-rhea-zenith-libra.pdf,Vestel_AC-Rhea-Zenith-Libra_datasheet.pdf
Vestel,DC Stella 720 (Power Unit + Dispenser + S Dispenser),Chargers\DC Chargers\Vestel,https://vestelmobility.com/Content/files/uploads/333/DC%20Stella.pdf,Vestel_DC-Stella-720_datasheet.pdf
Vestel,DC Sirius 160/240/320/400 (EVC03),Chargers\DC Chargers\Vestel,https://vestelmobility.com/Content/files/uploads/399/DC%20Sirius.pdf,Vestel_EVC03_DC-Sirius_datasheet.pdf
Vestel,DC Spica 80 / Spica L 160 (EVC16),Chargers\DC Chargers\Vestel,https://vestelmobility.com/Content/files/uploads/1772/EVC16-Datasheet-2026.pdf,Vestel_EVC16_DC-Spica_datasheet.pdf
Vestel,DC Vesper 40 / Vesper-P 40 (EVC12),Chargers\DC Chargers\Vestel,https://vestelmobility.com/Content/files/uploads/1797/EVC12-Datasheet-2026.pdf,Vestel_EVC12_DC-Vesper-40_datasheet.pdf
Peblar,Home,Chargers\AC Chargers\Peblar,https://peblar.com/hubfs/EN_Peblar%20AC%20chargers_R06.pdf,Peblar_Home_datasheet.pdf
Peblar,Business,Chargers\AC Chargers\Peblar,https://peblar.com/hubfs/EN_Peblar%20AC%20chargers_R06.pdf,Peblar_Business_datasheet.pdf
Peblar,White Label AC Charger,Chargers\AC Chargers\Peblar,https://peblar.com/hubfs/EN_Peblar%20White%20Label%20AC%20chargers_Detailed%20Spec%20Sheet.pdf,Peblar_WhiteLabel_datasheet.pdf
Ohme,Home Pro 11kW MID,Chargers\AC Chargers\Ohme,https://ohme-ev.com/nl/wp-content/uploads/sites/24/2026/04/March-26-NL_HomePro_11kW_MID_Product_Data_Sheet_.pdf,Ohme_HomePro_11kW_MID_datasheet_NL.pdf
Ohme,Home Pro 11kW (Standard),Chargers\AC Chargers\Ohme,https://ohme-ev.com/nl/wp-content/uploads/sites/24/2026/03/March-26-NL_HomePro_11kW_STD_Product_Data_Sheet_.pdf,Ohme_HomePro_11kW_STD_datasheet_NL.pdf
Ohme,Home Pro 7kW (Standard),Chargers\AC Chargers\Ohme,https://ohme-ev.com/nl/wp-content/uploads/sites/24/2026/03/March-26-NL_HomePro_7kW_STD_Product_Data_Sheet_.pdf,Ohme_HomePro_7kW_STD_datasheet_NL.pdf
Ohme,ePod 22kW,Chargers\AC Chargers\Ohme,https://ohme-ev.com/nl/wp-content/uploads/sites/24/2026/03/March-26-NL_ePod_22kW_Datasheet.pdf,Ohme_ePod_22kW_datasheet_NL.pdf
